﻿IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4
Slaying Edge+Spd,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,spdBoost,3,,,,,,,,
Slaying Edge+Def,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,defBoost,4,,,,,,,,
Slaying Edge+Res,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,resBoost,4,,,,,,,,
Armorsmasher,Armorsmasher,10,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,
Armorsmasher+,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,
Armorsmasher+Eff,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,3,nullArmBonuses,0,,,,,,,,
Armorsmasher+Atk,Armorsmasher+,16,1,"Effective against armored units. Neutralizes armored foes' bonuses (from skills like Fortify, Rally, etc.) during combat.",Sword,effArmor,0,HPBoost,5,,,,,,,,,,
Armorsmasher+Spd,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,spdBoost,3,,,,,,,,
Armorsmasher+Def,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,defBoost,4,,,,,,,,
Armorsmasher+Res,Armorsmasher+,14,1,Effective against armored units.,Sword,effArmor,0,HPBoost,5,resBoost,4,,,,,,,,
Firesweep Sword,Firesweep Sword,11,1,Unit and foe cannot counterattack.,Sword,firesweep,0,,,,,,,,,,,,
Firesweep Sword+,Firesweep Sword+,15,1,Unit and foe cannot counterattack.,Sword,firesweep,0,,,,,,,,,,,,
Kadomatsu,Kadomatsu,10,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,,,,,,,,,,
Kadomatsu+,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,,,,,,,,,,
Kadomatsu+Atk,Kadomatsu+,16,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,,,,,,,,
Kadomatsu+Spd,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,spdBoost,3,,,,,,
Kadomatsu+Def,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,defBoost,4,,,,,,
Kadomatsu+Res,Kadomatsu+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,Sword,driveDef,2,driveRes,2,HPBoost,5,resBoost,4,,,,,,
Safeguard,Safeguard,10,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,,,,,,,,,,,,
Safeguard+,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,,,,,,,,,,,,
Safeguard+Atk,Safeguard+,16,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,HPBoost,5,,,,,,,,,,
Safeguard+Spd,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,HPBoost,5,spdBoost,3,,,,,,,,
Safeguard+Def,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,HPBoost,5,defBoost,4,,,,,,,,
Safeguard+Res,Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Sword,defStance,3.5,HPBoost,5,resBoost,4,,,,,,,,
Barrier Blade,Barrier Blade,10,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,,,,,,,,,,,,
Barrier Blade+,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,,,,,,,,,,,,
Barrier Blade+Atk,Barrier Blade+,16,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,HPBoost,5,,,,,,,,,,
Barrier Blade+Spd,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,HPBoost,5,spdBoost,3,,,,,,,,
Barrier Blade+Def,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,HPBoost,5,defBoost,4,,,,,,,,
Barrier Blade+Res,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",Sword,resStance,3.5,HPBoost,5,resBoost,4,,,,,,,,
Geishun,Geishun,10,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,,,,,,,,,,,,
Geishun+,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,,,,,,,,,,,,
Geishun+Atk,Geishun+,16,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,HPBoost,5,,,,,,,,,,
Geishun+Spd,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,HPBoost,5,spdBoost,3,,,,,,,,
Geishun+Def,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,HPBoost,5,defBoost,4,,,,,,,,
Geishun+Res,Geishun+,14,1,"At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.",Sword,chillAtk,3,HPBoost,5,resBoost,4,,,,,,,,
Heart's Blade,Heart's Blade,10,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,,,,,,,,,,,,
Heart's Blade+,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,,,,,,,,,,,,
Heart's Blade+Atk,Heart's Blade+,16,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,,,,,,,,,,
Heart's Blade+Spd,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,spdBoost,3,,,,,,,,
Heart's Blade+Def,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,defBoost,4,,,,,,,,
Heart's Blade+Res,Heart's Blade+,14,1,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",Sword,telliusBond,3,HPBoost,5,resBoost,4,,,,,,,,
Cake Cutter,Cake Cutter,10,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,,,,,,,,,,
Cake Cutter+,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,,,,,,,,,,
Cake Cutter+Atk,Cake Cutter+,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,HPBoost,5,,,,,,,,
Cake Cutter+Spd,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,HPBoost,5,spdBoost,3,,,,,,
Cake Cutter+Def,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,HPBoost,5,defBoost,4,,,,,,
Cake Cutter+Res,Cake Cutter+,14,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlowo,2,HPBoost,5,resBoost,4,,,,,,
Sandfort Spade,Sandfort Spade,10,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,,,,,,,,,,,,
Sandfort Spade+,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,,,,,,,,,,,,
Sandfort Spade+Atk,Sandfort Spade+,16,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,HPBoost,5,,,,,,,,,,
Sandfort Spade+Spd,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,HPBoost,5,spdBoost,3,,,,,,,,
Sandfort Spade+Def,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,HPBoost,5,defBoost,4,,,,,,,,
Sandfort Spade+Res,Sandfort Spade+,14,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Def+4 during combat.",Sword,heroesSummerBonus,4,HPBoost,5,resBoost,4,,,,,,,,
Petal Parasol,Petal Parasol,10,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,,,,,,,,,,,,
Petal Parasol+,Petal Parasol+,14,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,,,,,,,,,,,,
Petal Parasol+Atk,Petal Parasol+,16,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,,,,,,,,,,
Petal Parasol+Spd,Petal Parasol+,14,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,spdBoost,3,,,,,,,,
Petal Parasol+Def,Petal Parasol+,14,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,defBoost,4,,,,,,,,
Petal Parasol+Res,Petal Parasol+,14,1,"If【Penalty】is active on foe, grants Atk/Spd+5 during combat.",Sword,elibeSummerPenalty,5,HPBoost,5,resBoost,4,,,,,,,,
Guard Sword,Guard Sword,10,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,,,,,,,,,,,,
Guard Sword+,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,,,,,,,,,,,,
Guard Sword+Atk,Guard Sword+,16,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,HPBoost,5,,,,,,,,,,
Guard Sword+Spd,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,HPBoost,5,spdBoost,3,,,,,,,,
Guard Sword+Def,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,HPBoost,5,defBoost,4,,,,,,,,
Guard Sword+Res,Guard Sword+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.),Sword,guard,0,HPBoost,5,resBoost,4,,,,,,,,
Bellringer,Bellringer,10,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,,,,,,,,,,,,
Bellringer+,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,,,,,,,,,,,,
Bellringer+Atk,Bellringer+,16,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,HPBoost,5,,,,,,,,,,
Bellringer+Spd,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,HPBoost,5,spdBoost,3,,,,,,,,
Bellringer+Def,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,HPBoost,5,defBoost,4,,,,,,,,
Bellringer+Res,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,fixedHealStrike,5,HPBoost,5,resBoost,4,,,,,,,,
Melee Bouquet,Melee Bouquet,10,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,,,,,,,,
Melee Bouquet+,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,,,,,,,,
Melee Bouquet+Atk,Melee Bouquet+,16,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,,,,,,
Melee Bouquet+Spd,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,spdBoost,3,,,,
Melee Bouquet+Def,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,defBoost,4,,,,
Melee Bouquet+Res,Melee Bouquet+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,resBoost,4,,,,
Carrot Cudgel,Carrot Cudgel,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,
Carrot Cudgel+,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,
Carrot Cudgel+Atk,Carrot Cudgel+,16,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,,,,,,,,,,
Carrot Cudgel+Spd,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,spdBoost,3,,,,,,,,
Carrot Cudgel+Def,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,defBoost,4,,,,,,,,
Carrot Cudgel+Res,Carrot Cudgel+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,resBoost,4,,,,,,,,
Pledged Blade,Pledged Blade,10,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,,,,,,,,
Pledged Blade+,Pledged Blade+,14,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,,,,,,,,
Pledged Blade+Atk,Pledged Blade+,16,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,HPBoost,5,,,,,,
Pledged Blade+Spd,Pledged Blade+,14,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,HPBoost,5,spdBoost,3,,,,
Pledged Blade+Def,Pledged Blade+,14,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,HPBoost,5,defBoost,4,,,,
Pledged Blade+Res,Pledged Blade+,14,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)",Sword,bonusBoostAtk,4,bonusBoostDef,4,bonusBoostSpCharge,1,HPBoost,5,resBoost,4,,,,
Ninja Katana,Ninja Katana,6,1,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice.",Sword,spdBoost,4,defBoost,-4,resBoost,-4,BraveAW,0,,,,,,
Ninja Katana+,Ninja Katana+,9,1,"Grants Spd+4. Inflicts Def/Res-4. If unit initiates combat, unit attacks twice.",Sword,spdBoost,4,defBoost,-4,resBoost,-4,BraveAW,0,,,,,,
Unbound Blade,Unbound Blade,10,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,,,,,,,,,,,,
Unbound Blade+,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,,,,,,,,,,,,
Unbound Blade+Atk,Unbound Blade+,16,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,HPBoost,5,,,,,,,,,,
Unbound Blade+Spd,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,HPBoost,5,spdBoost,3,,,,,,,,
Unbound Blade+Def,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,HPBoost,5,defBoost,4,,,,,,,,
Unbound Blade+Res,Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",Sword,unboundAtkDef,5,HPBoost,5,resBoost,4,,,,,,,,
Steadfast Sword,Steadfast Sword,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,
Steadfast Sword+,Steadfast Sword+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,,,,,,,,,,,,
Steadfast Sword+Atk,Steadfast Sword+,16,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,,,,,,,,,,
Steadfast Sword+Spd,Steadfast Sword+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,spdBoost,3,,,,,,,,
Steadfast Sword+Def,Steadfast Sword+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,defBoost,4,,,,,,,,
Steadfast Sword+Res,Steadfast Sword+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,steadfast,5,HPBoost,5,resBoost,4,,,,,,,,
Instant Sword,Instant Sword,10,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,,,,,,,,
Instant Sword+,Instant Sword+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,,,,,,,,
Instant Sword+Atk,Instant Sword+,16,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,,,,,,
Instant Sword+Spd,Instant Sword+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,spdBoost,3,,,,
Instant Sword+Def,Instant Sword+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,defBoost,4,,,,
Instant Sword+Res,Instant Sword+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",Sword,atkBlow,2,defBlow,2,AFUDenial,0,HPBoost,5,resBoost,4,,,,
Winter Rapier,Winter Rapier,10,1,"If unit is within 2 spaces of an ally, grants Atk/Def +5 and bonus to Atk/Def during combat = current penalty on each of those stats x 2. (Example: If unit has -7 penalty to Atk, grants Atk +19, for a net bonus of Atk +12) Calculates each stat bonus independently.",Sword,unityAtkDef,5,invertAtkPenalties,0,invertDefPenalties,0,,,,,,,,
Winter Rapier+,Winter Rapier+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def +5 and bonus to Atk/Def during combat = current penalty on each of those stats x 2. (Example: If unit has -7 penalty to Atk, grants Atk +19, for a net bonus of Atk +12) Calculates each stat bonus independently.",Sword,unityAtkDef,5,invertAtkPenalties,0,invertDefPenalties,0,,,,,,,,
Winter Rapier+Atk,Winter Rapier+,16,1,"If unit is within 2 spaces of an ally, grants Atk/Def +5 and bonus to Atk/Def during combat = current penalty on each of those stats x 2. (Example: If unit has -7 penalty to Atk, grants Atk +19, for a net bonus of Atk +12) Calculates each stat bonus independently.",Sword,unityAtkDef,5,invertAtkPenalties,0,invertDefPenalties,0,HPBoost,5,,,,,,
Winter Rapier+Spd,Winter Rapier+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def +5 and bonus to Atk/Def during combat = current penalty on each of those stats x 2. (Example: If unit has -7 penalty to Atk, grants Atk +19, for a net bonus of Atk +12) Calculates each stat bonus independently.",Sword,unityAtkDef,5,invertAtkPenalties,0,invertDefPenalties,0,HPBoost,5,spdBoost,3,,,,
Winter Rapier+Def,Winter Rapier+,14,1,"If unit is within 2 spaces of an ally, grants Atk/Def +5 and bonus to Atk/Def during combat = current penalty on each of those stats x 2. (Example: If unit has -7 penalty to Atk, grants Atk +19, for a net bonus of Atk +12) Calculates each stat bonus independently.",Sword,unityAtkDef,5,invertAtkPenalties,0,invertDefPenalties,0,HPBoost,5,defBoost,4,,,,
